//nm	BN-LH250-V01, sn 51102 / LH250_snL2229, distance 500 mm  - at alignment target,  W/m2.nm, kal200805
250	1.1720E-04
260	2.0580E-04
270	3.3329E-04
280	5.0624E-04
290	7.4458E-04
300	1.0488E-03
310	1.4345E-03
320	1.9139E-03
330	2.4960E-03
340	3.1895E-03
350	3.9929E-03
360	4.9235E-03
370	5.9725E-03
380	7.1516E-03
390	8.4523E-03
400	9.8464E-03
420	1.2931E-02
440	1.6460E-02
460	2.0259E-02
480	2.4285E-02
500	2.8495E-02
520	3.2713E-02
540	3.6923E-02
560	4.1013E-02
580	4.4962E-02
600	4.8665E-02
620	5.2095E-02
640	5.5303E-02
660	5.8158E-02
680	6.0715E-02
700	6.3076E-02
720	6.4934E-02
740	6.6392E-02
760	6.7712E-02
780	6.8635E-02
800	6.9257E-02
850	7.0074E-02
900	6.9705E-02
950	6.8214E-02
1000	6.5949E-02
1050	6.2819E-02
1100	5.9558E-02
