	Osram930	Osram930_INT
	W/m2 -nm	
300	1.46425E-6	1.46425E-6
301	5.7714E-6	7.23565E-6
302	1.06692E-5	1.79049E-5
303	1.09229E-5	2.88278E-5
304	8.55309E-6	3.73809E-5
305	8.52427E-6	4.59052E-5
306	1.16237E-5	5.75289E-5
307	1.32072E-5	7.07361E-5
308	1.93849E-5	9.0121E-5
309	2.40271E-5	1.14148E-4
310	3.51298E-5	1.49278E-4
311	6.11255E-5	2.10403E-4
312	2.08416E-4	4.1882E-4
313	3.58862E-4	7.77682E-4
314	3.09355E-4	0.00108704
315	1.40467E-4	0.0012275
316	6.74885E-5	0.00129499
317	7.07135E-5	0.00136571
318	7.90018E-5	0.00144471
319	7.74657E-5	0.00152217
320	8.00117E-5	0.00160218
321	8.54046E-5	0.00168759
322	9.04039E-5	0.00177799
323	8.91041E-5	0.0018671
324	9.04967E-5	0.00195759
325	8.95262E-5	0.00204712
326	9.37157E-5	0.00214084
327	9.18332E-5	0.00223267
328	9.18559E-5	0.00232452
329	9.24923E-5	0.00241702
330	9.11812E-5	0.0025082
331	9.08375E-5	0.00259904
332	9.53932E-5	0.00269443
333	1.08748E-4	0.00280318
334	1.37185E-4	0.00294036
335	1.39522E-4	0.00307988
336	1.12063E-4	0.00319195
337	9.83755E-5	0.00329032
338	9.38851E-5	0.00338421
339	9.60818E-5	0.00348029
340	9.43393E-5	0.00357463
341	9.55528E-5	0.00367018
342	9.37854E-5	0.00376397
343	9.12745E-5	0.00385524
344	9.09648E-5	0.00394621
345	8.7246E-5	0.00403345
346	8.33072E-5	0.00411676
347	8.07643E-5	0.00419752
348	7.75185E-5	0.00427504
349	7.56424E-5	0.00435068
350	7.2375E-5	0.00442306
351	6.75859E-5	0.00449065
352	6.2609E-5	0.00455325
353	6.09693E-5	0.00461422
354	5.7239E-5	0.00467146
355	5.51878E-5	0.00472665
356	5.21908E-5	0.00477884
357	4.9624E-5	0.00482847
358	4.64495E-5	0.00487491
359	4.52718E-5	0.00492019
360	4.61062E-5	0.00496629
361	4.48361E-5	0.00501113
362	4.62203E-5	0.00505735
363	5.50389E-5	0.00511239
364	4.10631E-4	0.00552302
365	9.38779E-4	0.0064618
366	0.00103495	0.00749674
367	5.52399E-4	0.00804914
368	1.22245E-4	0.00817139
369	5.46853E-5	0.00822607
370	5.00245E-5	0.0082761
371	4.92922E-5	0.00832539
372	4.80173E-5	0.00837341
373	4.52209E-5	0.00841863
374	4.3483E-5	0.00846211
375	4.68966E-5	0.00850901
376	5.24825E-5	0.00856149
377	6.14692E-5	0.00862296
378	6.98524E-5	0.00869281
379	7.4803E-5	0.00876762
380	7.72997E-5	0.00884491
381	7.83884E-5	0.0089233
382	7.71611E-5	0.00900046
